Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Africa Eastern and Southern,AFE,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105230.0,124878.0,156246.0,140115.0,155106.0,196307.0,109451.0,181575.0,187308.0,148590.0,175294.0,234137.0,273751.0,319559.0,361194.0,439309.0,452561.0,603745.0,610172.0,618470.0,607642.0,648209.0,624460.0,1017281.0,1564897.0,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.050808989,8.158273374,8.155909898,8.022100499,7.773893992,7.681622694,7.641906367,7.682637808,7.729930109,7.668768297,7.553884524,7.511493389,7.47204242,7.27852247,7.100413719,7.0356006,6.980588915,6.959262329,7.029334934,7.339488853,7.303350943,7.108737404,6.88972223,6.862428576,6.930941259,7.07442881,7.214915019,7.244842827,7.459106368,7.974301641,8.407411547,7.86947019,7.676547734,7.571697493,8.0
Africa Western and Central,AFW,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32651.0,43163.0,53760.0,60459.0,63683.0,69838.0,55144.0,47702.0,44063.0,38403.0,41468.0,55856.0,68801.0,95673.0,145359.0,178388.0,221665.0,321218.0,281587.0,295448.0,277529.0,289706.0,290899.0,446442.0,568006.0,
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.157893139,4.246713558,4.367033295,4.390097202,4.392768878,4.326134016,4.296117843,4.304200998,4.489677291,4.530843482,4.465195562,4.273706486,4.167978939,4.086891461,4.096464677,3.969279411,3.94805842,3.967224599,4.002855677,3.989520167,3.967212119,3.980101823,3.707793964,3.887750839,4.170142906,4.167580136,4.283995919,4.334377139,4.390763738,4.795318012,4.666634031,3.593353566,3.200800933,3.172420642,3.0
Arab World,ARB,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85706.0,87293.0,75832.0,69671.0,78845.0,97958.0,105984.0,81956.0,82287.0,77569.0,98537.0,117155.0,128349.0,182596.0,313352.0,647939.0,652873.0,625391.0,635842.0,660323.0,620293.0,654388.0,675916.0,988335.0,1457887.0,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90975731,12.15369129,12.90974597,13.01218339,13.50492052,12.45859439,11.99636,11.95199895,12.14105311,12.62272319,12.49820213,12.50622767,12.44969664,11.42711647,11.2344113,10.51764256,10.14567808,9.875159014,9.460792169,9.571788252,10.68739514,11.06509666,11.03500189,11.03192616,11.15244643,10.86171614,11.1152019,10.65464065,10.21371829,11.29515036,10.86274891,9.744130956,9.313388632,9.265924193,9.0
Caribbean small states,CSS,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.0,1135.0,2948.0,2706.0,1435.0,1382.0,1084.0,1252.0,1813.0,2547.0,2280.0,2018.0,1393.0,1001.0,674.0,942.0,1453.0,1866.0,1898.0,2482.0,2742.0,3084.0,4230.0,6292.0,8951.0,
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.32496065,17.04385504,16.83946438,16.11543429,14.65076742,14.1980944,13.61194696,13.0418054,12.50196259,11.74276306,11.17944034,11.3083251,11.53806329,10.29160368,9.984805723,8.693941202,8.197699061,7.871190883,9.188085406,8.809349046,8.825317564,8.995637547,8.879507961,8.612948224,8.224535643,8.528976259,8.246740025,8.597086255,8.211425147,9.951815927,9.713271251,8.298677559,7.512812909,7.491806999,8.0
Central Europe and the Baltics,CEB,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7955.0,11135.0,10111.0,7414.0,4965.0,4266.0,3782.0,1775.0,2362.0,6359.0,6381.0,9235.0,7138.0,5223.0,2483.0,3625.0,6388.0,7542.0,7268.0,6662.0,6367.0,7131.0,9834.0,10892.0,12922.0,
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.575458397,10.19597981,11.68858174,11.55681588,11.01672956,10.36303678,9.391728059,9.186974184,10.61831807,12.14936973,13.49811281,13.96097653,13.27642468,12.89146066,12.03115294,10.12491449,7.809129226,6.60116716,8.516508752,9.92718739,9.809608423,10.01483705,10.0761897,8.873704898,7.812607962,6.476269867,5.277190008,4.294834458,3.760726432,4.349642122,4.445080312,3.965405827,4.012304166,4.00056351,4.0
Early-demographic dividend,EAR,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440870.0,442232.0,421750.0,396357.0,314385.0,297010.0,204629.0,225988.0,218388.0,197148.0,190839.0,211823.0,253975.0,394909.0,520741.0,880916.0,998232.0,1313212.0,1720502.0,2223500.0,2345236.0,2732295.0,3195331.0,3710603.0,4321059.0,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.277952631,6.347837155,6.522535875,6.758300097,7.033934563,6.883428684,6.76187368,6.869428929,7.066167661,7.072811485,7.156390581,7.390064123,7.296218875,7.189461517,7.113328545,6.889540963,6.823868243,6.765727193,6.882237256,6.698364997,6.607362439,6.701841468,6.677110927,6.614190582,6.793244042,6.734148033,6.718064785,6.775261301,6.309705493,7.364170865,6.74359582,5.64296814,5.113135212,5.143761762,5.0
East Asia & Pacific,EAS,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28835.0,36010.0,42680.0,46232.0,40883.0,70708.0,53340.0,43358.0,50822.0,49076.0,35514.0,40602.0,46531.0,77721.0,110393.0,136405.0,152921.0,170536.0,163946.0,193987.0,204990.0,221885.0,230555.0,263004.0,333637.0,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.459601418,2.452985125,2.708016411,2.976841157,3.052253546,3.167139362,3.256325979,3.547738771,3.659459769,3.563330334,3.966066056,4.265578216,4.479618033,4.429807376,4.474634692,4.351012904,4.304298529,4.381949301,4.47420797,4.224550765,4.130910046,4.060530127,4.05303743,4.025415804,4.089876948,4.003937815,3.874564803,3.754424527,3.824420119,4.296583403,4.062190925,4.100322543,3.861870126,3.805940173,4.0
East Asia & Pacific (excluding high income),EAP,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28435.0,35459.0,41990.0,45650.0,40464.0,70278.0,52956.0,42906.0,50211.0,48643.0,35170.0,40354.0,46211.0,77358.0,109957.0,135923.0,152380.0,169836.0,163148.0,192788.0,203471.0,219797.0,228283.0,260867.0,331008.0,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.413906239,2.38330584,2.634681538,2.933144452,3.016461568,3.121194585,3.21299232,3.383605391,3.47870712,3.433349705,3.855787281,4.169500981,4.416843899,4.411270899,4.490191745,4.383644845,4.364625899,4.44442037,4.425096245,4.163700374,4.114794488,4.052760451,4.055061808,4.05030844,4.124583419,4.043124717,3.921666204,3.812352656,3.904326431,4.369436974,4.133286628,4.234911942,3.977123817,3.913709916,4.0
