Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Armenia,ARM,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,8491.0,13092.0,14907.0,13697.0,11097.0,8850.0,9291.0,13474.0,18378.0,20459.0,
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.261,17.617,17.704,18.966,18.304,18.175,15.469,13.451,12.405,12.405,13.0
Bosnia and Herzegovina,BIH,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,7015.0,3108.0,1886.0,1619.0,1487.0,1358.0,1631.0,1500.0,1313.0,961.0,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668,10.69,11.0
Botswana,BWA,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,73.0,127.0,95.0,89.0,139.0,134.0,213.0,686.0,1389.0,1331.0,
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.915,19.328,19.671,19.665,20.094,21.017,23.106,23.615,23.381,23.81,24.0
"Congo, Rep.",COG,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,4071.0,4346.0,13068.0,11762.0,11227.0,12836.0,12795.0,9580.0,10363.0,12278.0,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.02,20.298,20.737,20.84,20.494,22.286,21.998,20.131,19.919,19.895,20.0
Djibouti,DJI,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,542.0,831.0,1286.0,1100.0,834.0,883.0,994.0,1187.0,1574.0,1973.0,
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.063,25.982,26.064,26.18,26.257,27.701,27.628,26.272,26.074,26.007,26.0
Eswatini,SWZ,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,159.0,137.0,40.0,48.0,97.0,81.0,80.0,122.0,251.0,543.0,
Eswatini,SWZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.431,22.718,24.543,26.471,28.222,32.978,34.153,36.472,34.61,34.643,34.0
Gabon,GAB,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,224.0,431.0,696.0,739.0,893.0,1115.0,902.0,717.0,834.0,909.0,
Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.943,20.117,20.307,20.459,20.371,21.279,21.223,20.319,20.161,20.091,20.0
Greece,GRC,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,65.0,76.0,95.0,128.0,133.0,122.0,171.0,194.0,219.0,233.0,
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.023,10.02,9.0
Libya,LBY,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,6042.0,6521.0,6842.0,6786.0,5986.0,5440.0,5717.0,6076.0,6054.0,6358.0,
Libya,LBY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.69,19.559,19.053,18.865,19.087,19.651,19.779,19.238,18.713,19.085,19.0
Montenegro,MNE,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,3015.0,1132.0,770.0,633.0,606.0,634.0,809.0,955.0,1058.0,1058.0,
Montenegro,MNE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,13.146,13.206,14.0
Namibia,NAM,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,60.0,130.0,211.0,332.0,756.0,841.0,915.0,1444.0,1603.0,897.0,
Namibia,NAM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.791,23.352,21.748,19.877,19.929,21.003,20.931,19.615,19.154,19.157,19.0
North Macedonia,MKD,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,14609.0,7054.0,4038.0,3228.0,2526.0,1715.0,3982.0,5185.0,4689.0,2468.0,
North Macedonia,MKD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174,12.265,12.0
Serbia,SRB,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,53292.0,21699.0,12807.0,9702.0,7463.0,7105.0,6708.0,6668.0,5781.0,6104.0,
Serbia,SRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268,7.24,7.0
"Somalia, Fed. Rep.",SOM,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,56664.0,60491.0,58320.0,55852.0,53083.0,53824.0,59605.0,56893.0,179224.0,237183.0,
"Somalia, Fed. Rep.",SOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.495,18.611,18.455,18.7,18.828,19.414,19.662,19.112,18.96,18.949,19.0
South Africa,ZAF,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,844.0,1075.0,1608.0,2399.0,2839.0,3230.0,3556.0,3474.0,4163.0,4907.0,
South Africa,ZAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098,32.279,32.0
Spain,ESP,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,85.0,120.0,197.0,238.0,276.0,294.0,423.0,452.0,1322.0,1979.0,
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,22.057,19.635,17.224,15.255,14.104,15.532,14.914,13.033,12.179,11.4,10.0
St. Lucia,LCA,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,60.0,196.0,178.0,65.0,74.0,83.0,91.0,122.0,231.0,299.0,
St. Lucia,LCA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.84,19.932,19.136,19.329,15.613,25.224,20.514,15.934,12.094,10.199,9.0
St. Vincent and the Grenadines,VCT,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,43.0,131.0,136.0,56.0,77.0,38.0,85.0,120.0,165.0,229.0,
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.135,19.029,19.024,19.005,19.248,20.635,20.356,19.277,18.348,18.093,18.0
West Bank and Gaza,PSE,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,4315.0,5980.0,8859.0,13461.0,11537.0,12456.0,9645.0,11295.0,12387.0,15720.0,
West Bank and Gaza,PSE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.005,23.939,25.677,26.256,25.34,25.895,26.39,24.42,,,
"Yemen, Rep.",YEM,Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,10056.0,15870.0,24629.0,35876.0,34328.0,34870.0,35462.0,33524.0,33521.0,32810.0,
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.9,18.42,18.611,17.593,17.213,17.963,18.312,17.224,16.944,16.97,17.0
